TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	10769.9	2657.57	2.153167e+000	2.115902e+000	39	24	6.020542e+000	0	0	0	0	0	0	0.185901	0	0	42.5954	24.3242
DATA	36	1	36	0	0	ASCRP3001026	ASCRP3001026	10795.2	2657.11	1.098039e+001	2.377154e+000	51.5	24	5.257807e+000	0	0	0	0	0	0	12.2647	1	1	47.2035	24
DATA	37	1	37	0	0	ASCRP3002469	ASCRP3002469	10820.1	2658.11	2.338790e+000	2.115225e+000	42	24	5.096832e+000	0	0	0	0	0	0	2.61992	1	0	37.847	24.0479
DATA	38	1	38	0	0	ASCRP3005995	ASCRP3005995	10845.9	2656.92	2.131980e+000	2.104528e+000	42	24	5.570918e+000	0	0	0	0	0	0	2.24666	0	0	45.4864	24.1222
DATA	39	1	39	0	0	ASCRP3003059	ASCRP3003059	10871.3	2657.43	8.348334e+000	2.249958e+000	48	23	5.767744e+000	0	0	0	0	0	0	9.4096	1	0	50.7771	23.7553
DATA	40	1	40	0	0	ASCRP3008503	ASCRP3008503	10896.6	2657.43	4.227446e+000	2.126321e+000	45	23	5.624002e+000	0	0	0	0	0	0	4.77737	1	0	57.5363	23.8694
DATA	41	1	41	0	0	ASCRP3008062	ASCRP3008062	10921.6	2657.23	7.520571e+001	7.802603e+000	119	23	5.822526e+000	0	0	0	0	0	0	85.194	1	1	50.4627	23.9828
DATA	42	1	42	0	0	ASCRP3009593	ASCRP3009593	10947.5	2657.35	6.778394e+000	2.182338e+000	45	24	5.215077e+000	0	0	0	0	0	0	7.69513	1	0	57.5363	24.2267
DATA	43	1	43	0	0	Negative042	Negative042	10972.1	2657.78	1.278196e+001	2.433557e+000	50	23	5.504181e+000	0	0	0	0	0	0	14.5355	1	1	37.4241	23.7973
DATA	44	1	44	0	0	ASCRP3006330	ASCRP3006330	10998.4	2657.1	3.019050e+001	3.658930e+000	74.5	23	5.564834e+000	0	0	0	0	0	0	34.3938	1	1	47.8731	23.8249
DATA	45	1	45	0	0	ASCRP3003988	ASCRP3003988	11023.6	2657.26	1.949340e+002	1.960243e+001	254.5	24	5.579153e+000	0	0	0	0	0	0	222.347	1	1	50.1463	24.3946
DATA	46	1	46	0	0	ASCRP3000521	ASCRP3000521	11048.9	2657.52	2.504517e+001	3.244620e+000	68	25	5.747589e+000	0	0	0	0	0	0	28.5929	1	1	48.8603	24.9845
DATA	47	1	47	0	0	ASCRP3012738	ASCRP3012738	11074.2	2657.32	7.718566e+000	2.201152e+000	46	23	5.755205e+000	0	0	0	0	0	0	8.81778	1	0	50.1463	23.8733
DATA	48	1	48	0	0	ASCRP3009482	ASCRP3009482	11100.1	2657.29	2.097148e+000	2.066589e+000	41	23	5.670296e+000	0	0	0	0	0	0	1.76826	0	0	49.8279	23.9981
DATA	49	1	49	0	0	ASCRP3010011	ASCRP3010011	11125.4	2657.43	2.488838e+000	2.075981e+000	41	23	5.374203e+000	0	0	0	0	0	0	2.8438	1	0	57.5363	23.4981
DATA	50	1	50	0	0	A_23_P215720	NM_000492	11150.7	2657.59	2.098371e+000	2.061990e+000	38	23	5.777497e+000	0	0	0	0	0	0	-0.381032	0	0	51.0895	23.9071
DATA	51	1	51	0	0	ASCRP3005914	ASCRP3005914	11176	2657.6	2.716049e+003	2.716127e+002	3175	24	5.760250e+000	0	0	0	0	0	0	3099.34	1	1	54.9904	24.4149
DATA	52	1	52	0	0	ASCRP3008448	ASCRP3008448	11201.4	2656.87	9.509060e+000	2.274416e+000	51	24	5.717361e+000	0	0	0	0	0	0	10.8385	1	0	47.5395	24.5936
