TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	36	1	36	0	0	ASCRP3001026	ASCRP3001026	1305.5	210	1.038276e+001	3.211197e+000	49	24	5.385074e+000	0	0	0	0	0	0	9.48651	1	0	54.1152	24.3894
DATA	37	1	37	0	0	ASCRP3002469	ASCRP3002469	1331.47	210.027	3.101509e+000	3.044170e+000	40	24	5.955479e+000	0	0	0	0	0	0	-0.411237	0	0	48.5334	24.6096
DATA	38	1	38	0	0	ASCRP3005995	ASCRP3005995	1356.34	210.119	3.106573e+000	3.049140e+000	41	25	5.746357e+000	0	0	0	0	0	0	-0.354103	0	0	43.3362	24.8961
DATA	39	1	39	0	0	ASCRP3003059	ASCRP3003059	1381.34	210.209	1.211472e+001	3.285449e+000	49	25	5.810713e+000	0	0	0	0	0	0	11.0138	1	0	45.835	24.8471
DATA	40	1	40	0	0	ASCRP3008503	ASCRP3008503	1406.38	210.164	3.116262e+000	3.067016e+000	43	25	5.947468e+000	0	0	0	0	0	0	2.05499	0	0	42.2201	24.8712
DATA	41	1	41	0	0	ASCRP3008062	ASCRP3008062	1432.41	209.904	1.583150e+002	1.612519e+001	182.5	24	6.035710e+000	0	0	0	0	0	0	143.477	1	1	48.5334	24.8808
DATA	42	1	42	0	0	ASCRP3009593	ASCRP3009593	1458.14	210.284	3.318940e+000	3.085485e+000	41	24	5.607555e+000	0	0	0	0	0	0	3.00391	1	0	47.5395	24.1886
DATA	43	1	43	0	0	Negative042	Negative042	1483.5	210	3.129837e+000	3.072039e+000	39	24	5.951563e+000	0	0	0	0	0	0	0.181861	0	0	54.1152	24.6395
DATA	44	1	44	0	0	ASCRP3006330	ASCRP3006330	1508.55	210.156	2.202253e+001	3.782796e+000	61.5	24	5.465421e+000	0	0	0	0	0	0	19.8799	1	1	44.4243	23.9638
DATA	45	1	45	0	0	ASCRP3003988	ASCRP3003988	1534	209.797	2.633112e+002	2.651061e+001	280	23	6.072594e+000	0	0	0	0	0	0	237.381	1	1	46.8651	24.3137
DATA	46	1	46	0	0	ASCRP3000521	ASCRP3000521	1559.27	209.886	3.080878e+001	4.358489e+000	68	24	5.942798e+000	0	0	0	0	0	0	27.7454	1	1	46.8651	24.6617
DATA	47	1	47	0	0	ASCRP3012738	ASCRP3012738	1584.68	209.972	3.144057e+000	3.085931e+000	37.5	25	5.758135e+000	0	0	0	0	0	0	-2.31716	0	0	48.2044	25.1336
DATA	48	1	48	0	0	ASCRP3009482	ASCRP3009482	1610.3	209.905	3.146952e+000	3.088772e+000	37	24	5.220696e+000	0	0	0	0	0	0	-3.48142	0	0	48.8603	24.4213
DATA	49	1	49	0	0	ASCRP3010011	ASCRP3010011	1635.61	210.069	3.200016e+000	3.107444e+000	45	24	5.279702e+000	0	0	0	0	0	0	2.8744	1	0	53.8203	24.1779
DATA	50	1	50	0	0	A_23_P215720	NM_000492	1661.39	210.069	5.209125e+001	6.058133e+000	83	24	5.295886e+000	0	0	0	1	0	0	46.7609	1	1	53.8203	24.3772
DATA	51	1	51	0	0	ASCRP3005914	ASCRP3005914	1686.2	210	4.488418e+003	4.488525e+002	4122	24	5.562532e+000	0	0	0	0	0	0	4027.13	1	1	49.1849	24.1718
DATA	52	1	52	0	0	ASCRP3008448	ASCRP3008448	1711.78	210.588	1.302155e+001	3.357415e+000	53	23	5.917723e+000	0	0	0	0	0	0	11.6826	1	0	46.5243	23.5961
DATA	53	1	53	0	0	ASCRP3005403	ASCRP3005403	1737.24	210.279	1.001379e+001	3.253381e+000	50.5	23	5.890754e+000	0	0	0	0	0	0	8.98173	1	0	46.8651	23.6994
DATA	54	1	54	0	0	ASCRP3004952	ASCRP3004952	1762.3	210.507	1.134206e+002	1.175673e+001	144	24	5.391719e+000	0	0	0	0	0	0	101.749	1	1	46.8651	24.252
DATA	55	1	55	0	0	ASCRP3011716	ASCRP3011716	1787.72	210	4.194335e+001	5.212461e+000	78	24	5.731263e+000	0	0	0	0	0	0	37.6292	1	1	44.7812	24.1866
DATA	56	1	56	0	0	AS_circRNA_control212	AS_circRNA_control212	1813.68	210.469	5.704690e+002	5.713065e+001	543	24	6.032469e+000	0	0	0	0	0	0	512.19	1	1	51.0895	24.7403
DATA	57	1	57	0	0	ASCRP3000311	ASCRP3000311	1838.53	209.971	3.148848e+000	3.090633e+000	36	24	6.469868e+000	0	0	0	0	0	0	-4.82848	0	0	47.8731	24.9886
DATA	58	1	58	0	0	ASCRP3001004	ASCRP3001004	1864.57	210.585	3.144330e+000	3.086199e+000	39	25	5.701057e+000	0	0	0	0	0	0	-0.955401	0	0	45.1352	24.7212
DATA	59	1	59	0	0	ASCRP3005954	ASCRP3005954	1889.39	210.216	6.804122e+001	7.469794e+000	97	25	5.869353e+000	0	0	0	0	0	0	61.2849	1	1	49.1849	24.9253
DATA	60	1	60	0	0	ASCRP3012098	ASCRP3012098	1915.18	210.667	3.134191e+000	3.076247e+000	40	24	5.942724e+000	0	0	0	0	0	0	-0.1031	0	0	49.8279	24.25
DATA	61	1	61	0	0	ASCRP3003319	ASCRP3003319	1939.92	210.71	1.043579e+001	3.242297e+000	51	24	5.514316e+000	0	0	0	0	0	0	9.43853	1	0	45.1352	23.9962
DATA	62	1	62	0	0	ASCRP3003051	ASCRP3003051	1965.52	210.648	7.189094e+001	7.814017e+000	107	24	5.579458e+000	0	0	0	0	0	0	65.1859	1	1	47.8731	24.4501
DATA	63	1	63	0	0	ASCRP3004503	ASCRP3004503	1991.42	210.427	1.185239e+001	3.275030e+000	51	24	5.893056e+000	0	0	0	0	0	0	10.7785	1	0	57.5363	24.5337
DATA	64	1	64	0	0	Negative026	Negative026	2016.9	210.485	3.099643e+000	3.042337e+000	35	24	5.690425e+000	0	0	0	0	0	0	-5.73723	0	0	55.2791	24.9086
DATA	65	1	65	0	0	ASCRP3002348	ASCRP3002348	2042.7	210.737	3.086699e+000	3.029633e+000	35.5	24	5.760080e+000	0	0	0	0	0	0	-5.00114	0	0	41.8414	24.2083
DATA	66	1	66	0	0	ASCRP3011765	ASCRP3011765	2067.19	210.217	3.074172e+000	3.024049e+000	40	24	6.054902e+000	0	0	0	0	0	0	1.8529	0	0	46.1809	24.8716
DATA	67	1	67	0	0	ASCRP3002944	ASCRP3002944	2092.49	210.197	3.283020e+001	4.448695e+000	69	25	5.987709e+000	0	0	0	0	0	0	30.362	1	1	47.8731	25.1962
DATA	68	1	68	0	0	ASCRP3009856	ASCRP3009856	2118.42	210.427	3.674042e+000	3.006784e+000	43	25	5.566320e+000	0	0	0	0	0	0	3.41816	1	0	57.5363	24.8733
DATA	69	1	69	0	0	ASCRP3011754	ASCRP3011754	2143.6	210.2	3.021677e+000	2.965813e+000	40	24	5.970286e+000	0	0	0	0	0	0	-1.33839	0	0	47.2035	24.7571
