TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	36	1	36	0	0	ASCRP3001026	ASCRP3001026	4479.97	210.162	1.979179e+001	2.798374e+000	55	22	5.801202e+000	0	0	0	0	0	0	18.5928	1	1	46.8651	23.0948
DATA	37	1	37	0	0	ASCRP3002469	ASCRP3002469	4505.64	210.836	6.199897e+000	2.071850e+000	43	23	5.785181e+000	0	0	0	0	0	0	5.82845	1	0	46.1809	23.473
DATA	38	1	38	0	0	ASCRP3005995	ASCRP3005995	4530.51	210.186	3.977965e+000	2.015468e+000	41.5	23	5.879559e+000	0	0	0	0	0	0	3.7417	1	0	51.7088	23.3189
DATA	39	1	39	0	0	ASCRP3003059	ASCRP3003059	4556.42	210.573	1.014996e+001	2.219956e+000	48	23	5.925764e+000	0	0	0	0	0	0	9.55432	1	1	57.5363	23.3125
DATA	40	1	40	0	0	ASCRP3008503	ASCRP3008503	4581.89	210.121	9.267248e+000	2.179798e+000	46	23	5.584071e+000	0	0	0	0	0	0	8.72933	1	0	46.1809	23.0677
DATA	41	1	41	0	0	ASCRP3008062	ASCRP3008062	4607.07	210.493	1.986005e+002	1.995765e+001	225	24	5.922634e+000	0	0	0	0	0	0	187.228	1	1	48.5334	23.9465
DATA	42	1	42	0	0	ASCRP3009593	ASCRP3009593	4632.82	210.452	1.069236e+001	2.241194e+000	47.5	24	5.808017e+000	0	0	0	0	0	0	10.0886	1	1	43.3362	23.8511
DATA	43	1	43	0	0	Negative042	Negative042	4657.89	210.5	5.394266e+000	2.040515e+000	42	24	6.008719e+000	0	0	0	0	0	0	5.09425	1	0	56.9804	23.7303
DATA	44	1	44	0	0	ASCRP3006330	ASCRP3006330	4683.38	210.23	3.430840e+001	3.954255e+000	71	22	5.749567e+000	0	0	0	0	0	0	32.4306	1	1	49.1849	23.2027
DATA	45	1	45	0	0	ASCRP3003988	ASCRP3003988	4708.87	210.526	2.792788e+002	2.799685e+001	302	23	5.623510e+000	0	0	0	0	0	0	264.28	1	1	50.1463	23.2374
DATA	46	1	46	0	0	ASCRP3000521	ASCRP3000521	4734.33	210.167	3.647759e+001	4.141851e+000	72	23	5.642584e+000	0	0	0	0	0	0	34.5557	1	1	47.8731	23.4829
DATA	47	1	47	0	0	ASCRP3012738	ASCRP3012738	4759.84	210.705	2.887321e+000	1.980475e+000	40	23	5.917181e+000	0	0	0	0	0	0	2.73871	1	0	44.4243	23.3733
DATA	48	1	48	0	0	ASCRP3009482	ASCRP3009482	4784.89	210.5	1.989243e+000	1.957301e+000	39	23	5.746574e+000	0	0	0	0	0	0	0.390304	0	0	56.9804	22.9864
DATA	49	1	49	0	0	ASCRP3010011	ASCRP3010011	4810.33	210.5	6.381313e+000	2.055703e+000	44	23	5.381979e+000	0	0	0	0	0	0	6.06887	1	0	57.5363	23.1067
DATA	50	1	50	0	0	A_23_P215720	NM_000492	4835.73	210.6	1.983496e+000	1.952233e+000	39	23	5.483778e+000	0	0	0	0	0	0	0.60032	0	0	41.8414	23.2038
DATA	51	1	51	0	0	ASCRP3005914	ASCRP3005914	4861.37	210.567	4.811234e+003	4.811274e+002	4597.5	23	5.521362e+000	0	0	0	0	0	0	4589.91	1	1	53.5237	23.0542
DATA	52	1	52	0	0	ASCRP3008448	ASCRP3008448	4886.31	210.206	1.455890e+001	2.429484e+000	51	22	5.070417e+000	0	0	0	0	0	0	13.9117	1	1	46.5243	22.4264
DATA	53	1	53	0	0	ASCRP3005403	ASCRP3005403	4911.82	210.817	1.079960e+001	2.221389e+000	48	23	5.447608e+000	0	0	0	0	0	0	10.3393	1	1	47.5395	23.0623
DATA	54	1	54	0	0	ASCRP3004952	ASCRP3004952	4937.3	210.1	1.326534e+002	1.340611e+001	164	23	6.091158e+000	0	0	0	0	0	0	127.233	1	1	47.2035	23.3491
DATA	55	1	55	0	0	ASCRP3011716	ASCRP3011716	4962.55	210.197	4.426418e+001	4.830334e+000	83	23	5.658523e+000	0	0	0	0	0	0	42.5435	1	1	47.5395	22.7533
DATA	56	1	56	0	0	AS_circRNA_control212	AS_circRNA_control212	4988.4	210.128	4.668456e+002	4.672441e+001	489	23	5.567591e+000	0	0	0	1	0	0	449.698	1	1	50.1463	22.9962
DATA	57	1	57	0	0	ASCRP3000311	ASCRP3000311	5013.5	211.125	1.956381e+000	1.932716e+000	38	23	5.652540e+000	0	0	0	0	0	0	1.71471	0	0	47.8731	23.3489
DATA	58	1	58	0	0	ASCRP3001004	ASCRP3001004	5039.03	210.116	6.073923e+000	2.013877e+000	43.5	23	5.797106e+000	0	0	0	0	0	0	5.87898	1	0	46.8651	23.4848
DATA	59	1	59	0	0	ASCRP3005954	ASCRP3005954	5064.38	210.63	7.185997e+001	7.436755e+000	109	23	6.283654e+000	0	0	0	0	0	0	69.7431	1	1	50.7771	23.6705
DATA	60	1	60	0	0	ASCRP3012098	ASCRP3012098	5090.03	210.211	5.774265e+000	1.995052e+000	41.5	23	6.027819e+000	0	0	0	0	0	0	5.61947	1	0	49.1849	23.5833
DATA	61	1	61	0	0	ASCRP3003319	ASCRP3003319	5115.75	210.576	7.028230e+000	2.029426e+000	44	23	5.882829e+000	0	0	0	0	0	0	6.86074	1	0	42.9674	23.5942
DATA	62	1	62	0	0	ASCRP3003051	ASCRP3003051	5140.26	209.778	8.177561e+001	8.395038e+000	121	23	5.490895e+000	0	0	0	0	0	0	80.0531	1	1	47.2035	23.3284
DATA	63	1	63	0	0	ASCRP3004503	ASCRP3004503	5165.58	210.71	1.518553e+001	2.425966e+000	54	24	5.206221e+000	0	0	0	0	0	0	14.9172	1	1	46.8651	23.3696
DATA	64	1	64	0	0	Negative026	Negative026	5191.41	209.887	2.146125e+000	1.897808e+000	40	23	5.633234e+000	0	0	0	0	0	0	2.11521	1	0	47.8731	23.2854
DATA	65	1	65	0	0	ASCRP3002348	ASCRP3002348	5216.67	210.444	1.909689e+000	1.882339e+000	38	23	5.749416e+000	0	0	0	0	0	0	1.17157	0	0	51.0895	23.53
DATA	66	1	66	0	0	ASCRP3011765	ASCRP3011765	5242.08	210.027	5.022496e+000	1.937868e+000	43	23	5.543120e+000	0	0	0	0	0	0	4.98713	1	0	46.8651	23.3755
DATA	67	1	67	0	0	ASCRP3002944	ASCRP3002944	5267.68	210.658	3.593464e+001	4.048068e+000	75	23	5.115454e+000	0	0	0	0	0	0	35.8313	1	1	48.2044	22.908
DATA	68	1	68	0	0	ASCRP3009856	ASCRP3009856	5292.58	210.427	2.099748e+001	2.802636e+000	56.5	22	5.284678e+000	0	0	0	0	0	0	21.0221	1	1	57.5363	22.4784
DATA	69	1	69	0	0	ASCRP3011754	ASCRP3011754	5318.24	210.632	4.611584e+000	1.904648e+000	42	23	5.606793e+000	0	0	0	0	0	0	4.63777	1	0	46.5243	22.7778
DATA	70	1	70	0	0	ASCRP3004993	ASCRP3004993	5343.73	209.924	3.400814e+001	3.866588e+000	72	22	5.641039e+000	0	0	0	0	0	0	34.3528	1	1	45.835	22.3849
DATA	71	1	71	0	0	ASCRP3008023	ASCRP3008023	5369.07	210.507	6.884530e+001	7.123785e+000	108	22.5	5.578606e+000	0	0	0	0	0	0	69.8887	1	1	48.5334	22.7558
DATA	72	1	72	0	0	A_23_P252748	NM_007152	5394.39	210	4.421272e+001	4.781925e+000	83	22	5.669560e+000	0	0	0	0	0	0	45.1013	1	1	49.1849	22.9264
DATA	73	1	73	0	0	ASCRP3009717	ASCRP3009717	5419.58	210.427	1.984131e+001	2.687151e+000	60	22	5.884635e+000	0	0	0	0	0	0	20.3481	1	1	57.5363	22.6749
DATA	75	1	75	0	0	ASCRP3004561	ASCRP3004561	5470.67	210.205	1.208519e+001	2.161503e+000	51	22	5.406786e+000	0	0	0	0	0	0	12.5329	1	1	48.2044	22.9713
DATA	76	1	76	0	0	ASCRP3004592	ASCRP3004592	5495.83	209.677	7.459770e+001	7.669642e+000	116	22	5.213624e+000	0	0	0	0	0	0	77.8025	1	1	45.4864	22.6365
DATA	77	1	77	0	0	ASCRP3003651	ASCRP3003651	5521.38	210.432	9.599528e+000	2.013944e+000	49	23	5.393418e+000	0	0	0	0	0	0	10.0768	1	1	49.1849	23.0152
DATA	78	1	78	0	0	ASCRP3008186	ASCRP3008186	5547.07	209.739	1.214752e+002	1.227427e+001	170	23	5.808381e+000	0	0	0	0	0	0	128.313	1	1	46.5243	23.2651
DATA	79	1	79	0	0	ASCRP3001172	ASCRP3001172	5572.42	210.427	1.784179e+001	2.497290e+000	58.5	23	5.951638e+000	0	0	0	0	0	0	18.9766	1	1	57.5363	23.0793
DATA	80	1	80	66	1	DarkCorner	DarkCorner	5597.55	210.269	2.710116e+000	1.756549e+000	43	23	5.757435e+000	0	0	0	0	0	0	2.90212	1	0	46.5243	23.2717
DATA	81	1	81	260	1	GE_BrightCorner	GE_BrightCorner	5623	210.455	1.356460e+005	1.356460e+004	146261	23	5.946479e+000	0	0	0	1	0	0	146315	1	1	55.8519	23.8098
DATA	82	1	82	260	1	GE_BrightCorner	GE_BrightCorner	5648.42	210.427	1.371907e+005	1.371907e+004	149225	25	6.538601e+000	0	0	0	0	0	0	149085	1	1	57.5363	24.9183
DATA	83	2	1	260	1	GE_BrightCorner	GE_BrightCorner	3604.11	218.5	1.677245e+005	1.677245e+004	151746	26	7.412219e+000	0	0	0	1	0	0	151289	1	1	56.9804	26.3333
DATA	84	2	2	66	1	DarkCorner	DarkCorner	3629.27	217.7	2.088997e+000	2.055000e+000	39	25	5.497632e+000	0	0	0	0	0	0	-1.97876	0	0	44.0646	24.1712
DATA	85	2	3	0	0	ASCRP3011718	ASCRP3011718	3654.82	217.911	2.083045e+000	2.049145e+000	39	23	5.302835e+000	0	0	0	0	0	0	-1.04048	0	0	37.4241	23.242
DATA	86	2	4	0	0	ASCRP3004590	ASCRP3004590	3680.37	217.735	5.131422e+002	5.135491e+001	504	23	5.738564e+000	0	0	0	0	0	0	466.584	1	1	46.5243	23.0243
DATA	87	2	5	0	0	ASCRP3004324	ASCRP3004324	3705.68	218.351	4.600053e+000	2.089802e+000	45	24	5.642268e+000	0	0	0	0	0	0	4.19371	1	0	48.5334	23.7688
DATA	88	2	6	0	0	A_23_P57306	NM_005441	3731	218.455	2.067483e+000	2.039440e+000	42.5	25	6.375732e+000	0	0	0	0	0	0	1.38052	0	0	55.8519	24.9409
DATA	89	2	7	0	0	ASCRP3005419	ASCRP3005419	3756.28	217.885	3.384177e+000	2.057865e+000	44	23	5.944347e+000	0	0	0	0	0	0	3.09846	1	0	44.4243	23.6542
DATA	90	2	8	0	0	ASCRP3006367	ASCRP3006367	3781.38	217.838	2.746228e+001	3.412594e+000	65	23	5.815480e+000	0	0	0	0	0	0	25.1934	1	1	46.8651	23.7972
DATA	91	2	9	0	0	ASCRP3003758	ASCRP3003758	3807.26	218.108	1.134114e+001	2.318173e+000	51	24	5.293928e+000	0	0	0	0	0	0	10.4249	1	1	48.2044	23.534
DATA	92	2	10	0	0	ASCRP3006209	ASCRP3006209	3832.5	218	2.172163e+003	2.172256e+002	1995	24	6.130826e+000	0	0	0	0	0	0	2000.1	1	1	48.5334	24.2897
DATA	93	2	11	0	0	ASCRP3011890	ASCRP3011890	3857.97	218.071	2.048337e+000	2.015002e+000	39.5	23	5.551441e+000	0	0	0	0	0	0	-1.01044	0	0	46.8651	23.66
DATA	94	2	12	0	0	ASCRP3012914	ASCRP3012914	3883.42	218.427	3.395132e+000	2.040202e+000	44	24	5.856326e+000	0	0	0	0	0	0	3.13644	1	0	65	23.9905
DATA	95	2	13	0	0	ASCRP3008257	ASCRP3008257	3908.76	217.97	4.266589e+001	4.715976e+000	80	23	6.466879e+000	0	0	0	0	0	0	39.4663	1	1	46.1809	23.6748
DATA	96	2	14	0	0	ASCRP3011640	ASCRP3011640	3934.22	217.721	2.063591e+001	2.878349e+000	60	23	6.090213e+000	0	0	0	0	0	0	19.1124	1	1	46.5243	23.4167
DATA	97	2	15	0	0	ASCRP3013127	ASCRP3013127	3959.62	218.076	1.171078e+001	2.321086e+000	52	22	5.779781e+000	0	0	0	0	0	0	10.8603	1	1	45.4864	22.9474
DATA	98	2	16	0	0	ASCRP3001518	ASCRP3001518	3984.49	218.084	1.296353e+001	2.384879e+000	54	23	5.293431e+000	0	0	0	0	0	0	12.0355	1	1	47.8731	23.0102
